Designator,Mid X,Mid Y,Layer,Rotation
C1,123.1,-78.6,Top,90
C100,110,-94.35,Top,180
C101,110,-95.35,Top,180
C102,110,-96.35,Top,180
C103,141,-84.25,Top,-90
C104,136,-79.75,Top,180
C105,136,-80.8,Top,180
C106,140.25,-86.25,Top,0
C107,143.5,-87.5,Top,90
C108,140.75,-69.75,Top,90
C109,140.75,-75.5,Top,180
C200,114.25,-58,Top,180
C201,114.25,-59,Top,180
C202,114.25,-61.02,Top,180
C203,104.75,-61.5,Top,90
C204,104.75,-70.5,Top,90
C205,112.5,-83.75,Top,0
C206,108.75,-81.7,Top,0
C300,137.25,-69.775,Top,-90
C301,141.55,-67.25,Top,90
C302,139.25,-70.25,Top,-90
C303,114.25,-63,Top,0
C304,107,-74.55,Top,180
C305,107,-73.2,Top,180
C400,136,-78.75,Top,180
C401,136,-77.72,Top,180
C402,136,-76.75,Top,180
D100,119.3,-89.46,Top,-90
D101,114.7,-89.46,Top,-90
D102,110,-93.25,Top,0
D103,109.7,-78.6,Top,0
D104,109.7,-76.9,Top,0
D300,109.72,-80.24,Top,0
D400,141.4,-77,Top,180
D401,144.4,-71.8,Top,0
D402,144.4,-73.1,Top,0
D403,144.4,-74.4,Top,0
D404,142.6,-84.3,Top,0
D405,142.6,-83,Top,0
D406,142.6,-81.7,Top,0
D407,143.1,-67.7,Top,0
D408,143.1,-66.5,Top,0
D409,106.75,-86,Top,90
D410,106.75,-82,Top,-90
IC1,109.5,-67.25,Top,0
IC2,125,-84.25,Top,0
J100,117,-94.5,Top,0
J400,103.75,-84,Top,-90
J402,146.25,-67,Top,90
J405,133,-95.9,Top,0
J407,145.85,-83,Top,90
L101,141.5,-89.5,Top,90
Q300,137.25,-61.75,Top,90
Q301,140.75,-61.75,Top,90
Q302,137.25,-72.75,Top,-90
R1,128.25,-77.5,Top,90
R100,120.5,-89.36,Top,-90
R101,113.5,-89.46,Top,-90
R102,142.5,-79,Top,180
R103,142.5,-80,Top,180
R104,107.05,-78.65,Top,0
R106,135.7,-88.85,Top,-90
R107,134.7,-88.85,Top,90
R108,107.05,-76.9,Top,0
R200,114.25,-60.02,Top,180
R201,114.25,-73.01,Top,0
R202,114.25,-74,Top,0
R205,114.25,-71.75,Top,180
R206,120.6,-77.5,Top,-90
R300,137.25,-59,Top,0
R301,140.75,-59,Top,0
R302,135.75,-69.25,Top,0
R303,137.25,-75.5,Top,180
R304,114.25,-66.25,Top,180
R305,107.05,-80.2,Top,0
R306,125.5,-77.5,Top,-90
R400,124.5,-77.5,Top,-90
R401,132.6,-77.5,Top,90
S200,102,-64.75,Top,180
S201,102,-73.75,Top,180
U100,139.25,-80.5,Top,90
U101,137.95,-89.65,Top,0
U102,140.75,-72.75,Top,-90
U200,125,-66.7,Top,0
U201,117,-88.91,Top,0
U202,109.5,-84,Top,180
U300,139,-66.75,Top,-90
U301,109.5,-74.2,Top,0
