Value,Reference,Footprint,JLCPCB Part#
100n,"C1,C102,C103,C104,C201,C203,C204,C205,C206,C300,C301,C302,C303,C304,C305,C402",Capacitor_SMD:C_0402_1005Metric,C1525
10u,"C100,C105,C107,C202,C400",Capacitor_SMD:C_0402_1005Metric,C15525
1u,"C101,C108,C109,C401",Capacitor_SMD:C_0402_1005Metric,C52923
4u7,C106,Capacitor_SMD:C_0805_2012Metric,C23733
22u,C200,Capacitor_SMD:C_0402_1005Metric,C415703
TPD1E05U06DPYR,"D100,D101,D102,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410",TPD1E05U06DPYR:DIO_TPD1E05U06DPYR,C2937017
LED,"D103,D104,D300",LED_SMD:LED_0603_1608Metric,C2286
"PCA9685PW,118",IC1,PCA9685PW_118:SOP65P640X110-28N,C2678753
W25Q128JVSIQ,IC2,SOIC127P790X216-8N,C97521
USB_C_Receptacle_USB2.0_16P,J100,USB-C:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C19189138
532617004,"J400,J402",532610471:53261-0471,C696092
532617007,"J405,J407",532610771:532610771,C505276
2u2,L101,Inductor_SMD:L_1008_2520Metric,C92925
BSS138,"Q300,Q301,Q302",Package_TO_SOT_SMD:SOT-23,C7420339
10k,"R1,R103,R200,R205,R206,R300,R301,R302,R303,R304,R306,R400,R401",Resistor_SMD:R_0402_1005Metric,C25744
5k1,"R100,R101",Resistor_SMD:R_0402_1005Metric,C25905
270R,R102,Resistor_SMD:R_0402_1005Metric,C163474
1k,R104,Resistor_SMD:R_0402_1005Metric,C11702
6k8,R106,Resistor_SMD:R_0402_1005Metric,C25917
1k5,R107,Resistor_SMD:R_0402_1005Metric,C25867
470R,"R108,R305",Resistor_SMD:R_0402_1005Metric,C25117
22R,"R201,R202",Resistor_SMD:R_0402_1005Metric,C25092
EVQPUC02K,"S200,S201",EVQ-PUC02k:EVQPUC02K,EVQPUC02K
TPS2115ADRBR,U100,TPS2115ADRBR:SON65P300X300X100-9N-D,C140321
TLV62566DBVR,U101,TLV62566DBVR:SOT95P280X145-5N,C2070898
AP2127N-1.8,U102,Package_TO_SOT_SMD:SOT-23,C780749
ESP32-S3-WROOM-1,U200,RF_Module:ESP32-S3-WROOM-1,C2913198
USBLC6-2SC6,U201,Package_TO_SOT_SMD:SOT-23-6,C7519
TCAN1042VDRBRQ1,U202,TCAN1042VDRBRQ1:DRB0008F,C2652857
ICM-20948,U300,Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm,C726001
BMP280,U301,Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,C83291
