Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C105, C107, C202, C400",0402,5,10u,
"C101, C108, C109, C401",0402,4,1u,
"C102, C103, C104, C201, C203, C204, C300, C301, C302, C303, C304, C305, C306, C402",0402,14,100n,
C106,0805,1,4u7,
C200,0402,1,22u,
"D100, D101, D102, D400, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410",DIO_TPD1E05U06DPYR,14,TPD1E05U06DPYR,
"D103, D104, D300",0603,3,LED,
IC1,SOP65P640X110-28N,1,"PCA9685PW,118",
J1,TFCARDH18,1,TF-CARD_H1.8,
J100,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,532617003,1,532617003,
J200,TC2050-IDC,1,TC2050-IDC-430,
"J400, J401, J402",532617004,3,532617004,
J403,532617010,1,532617010,
"J404, J405",532617007,2,532617007,
J406,532617012,1,532617012,
J407,CONN_532610000-SD_05_MOL,1,532614005,
L101,1008,1,2u2,
"Q300, Q301, Q302",SOT-23,3,BSS138,
"R1, R2, R201, R202",0402,4,27R,
"R100, R101",0402,2,5k1,
R102,0402,1,270R,
R103,0402,1,220k,
R104,0402,1,4k7,
R106,0402,1,540k,
R107,0402,1,120k,
"R108, R304",0402,2,1k,
"R200, R205, R206, R300, R301, R302, R303, R400, R401",0402,9,10k,
"S200, S201",EVQPUC02K,2,EVQ-PUC02K,
"TP100, TP101, TP102, TP103, TP104, TP105, TP106, TP300, TP301, TP302",TestPoint_Pad_D1.0mm,10,TestPoint,
U100,SON65P300X300X100-9N-D,1,TPS2115ADRBR,
U101,SOT95P280X145-5N,1,TLV62566DBVR,
U102,SOT-23,1,AP2127N-1.8,
U200,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U201,SOT-23-6,1,USBLC6-2SC6,
U300,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U301,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
