Designator,Mid X,Mid Y,Layer,Rotation
C101,64.02,-87.5,Top,0
C102,75.809,-78.5,Top,90
C104,64,-85,Top,180
C200,90.5,-62.5,Top,90
C201,94,-62.5,Top,90
C202,95.5,-88,Top,0
C203,95.5,-89,Top,0
C204,95.5,-82.25,Top,0
C205,95.5,-85.75,Top,0
C207,77.25,-69.75,Top,0
C208,75.75,-66.75,Top,90
C209,77.25,-71.25,Top,0
C210,74.75,-74.25,Top,-90
C211,70.5,-69.25,Top,180
C212,66.75,-68,Top,-90
C213,65.75,-70.75,Top,90
C214,68.75,-68,Top,-90
C215,95.5,-90,Top,0
C216,95.5,-78.75,Top,0
C217,96.25,-62.5,Top,90
C218,97.5,-62.5,Top,90
C300,73.28,-91.5,Top,-90
D100,96.5,-69.25,Top,0
D200,96.5,-71.25,Top,0
D300,60.5,-58,Top,180
D301,89.5,-58,Top,0
L200,85.25,-82.5,Top,-90
Q100,69.559,-80.5,Top,-90
Q200,89,-70.441,Top,0
Q201,81.924,-70.441,Top,180
Q300,67,-63.125,Top,180
Q301,83,-63.125,Top,180
R100,73.559,-86.25,Top,0
R101,93.92,-69.25,Top,0
R200,74.75,-66.75,Top,90
R201,73.25,-66.75,Top,90
R202,72.25,-66.75,Top,-90
R203,70.5,-71.75,Top,180
R204,67.75,-68,Top,-90
R205,67.75,-70.75,Top,90
R206,68.75,-70.75,Top,-90
R207,66.75,-70.75,Top,-90
R208,70.5,-68.25,Top,0
R209,73.25,-74.25,Top,-90
R210,75.75,-74.25,Top,90
R211,93.92,-71.25,Top,0
R300,62.75,-63.5,Top,-90
R301,63.25,-65,Top,180
R302,62.76,-61.5,Top,90
R303,63.75,-61.5,Top,90
R304,87.25,-61.5,Top,90
R305,86.25,-61.5,Top,90
R306,87.25,-63.5,Top,-90
R307,86.75,-65,Top,0
U100,66.809,-86.25,Top,0
U200,74,-70.5,Top,-90
U300,73,-60.3675,Top,-90
U301,77,-60.3675,Top,90
U302,75.75,-91.5,Top,90
