Value,Reference,Footprint,JLCPCB Part#
47n,"C101,C211",Capacitor_SMD:C_0402_1005Metric,C272875
47u,"C102,C200,C201,C204,C205,C216",Capacitor_SMD:C_1210_3225Metric,C7432791
22n,C104,Capacitor_SMD:C_0402_1005Metric,C1532
100n,"C202,C207,C208,C215,C217,C300",Capacitor_SMD:C_0402_1005Metric,C307331
1u,"C203,C218",Capacitor_SMD:C_0402_1005Metric,C52923
2u2,C209,Capacitor_SMD:C_0402_1005Metric,C107369
10p,C210,Capacitor_SMD:C_0402_1005Metric,C32949
1n,C212,Capacitor_SMD:C_0402_1005Metric,C1523
18n,C213,Capacitor_SMD:C_0402_1005Metric,C5448818
1n8,C214,Capacitor_SMD:C_0402_1005Metric,C527007
LED,"D100,D200",LED_SMD:LED_0603_1608Metric,C2286
SBR3M30P17,"D300,D301",SBR3M30P17:SBR3M30P17,C460953
1u8,L200,125CDMCCDS-1R8MC:Untitled,C2453926
CSD18540Q5B,"Q100,Q200,Q201",CSD18540Q5B:CSD18540Q5B,C86513
HSK10N06,"Q300,Q301",HSK10N06:HSK10N06,C5128195
0m5,R100,Resistor_SMD:R_2512_6332Metric,C500733
2k2,R101,Resistor_SMD:R_0402_1005Metric,C25879
0R,R200,Resistor_SMD:R_0402_1005Metric,C17168
39k,"R201,R208",Resistor_SMD:R_0402_1005Metric,C25783
10k,"R202,R203,R209,R300,R302,R304,R306",Resistor_SMD:R_0402_1005Metric,C25744
22R,R204,Resistor_SMD:R_0402_1005Metric,C25092
2k,R205,Resistor_SMD:R_0402_1005Metric,C4109
1k,"R207,R211",Resistor_SMD:R_0402_1005Metric,C11702
10.5k,R206,Resistor_SMD:R_0402_1005Metric,C25850
470R,R210,Resistor_SMD:R_0402_1005Metric,C25117
220R,"R301,R305",Resistor_SMD:R_0402_1005Metric,C25091
100R,"R303,R307",Resistor_SMD:R_0402_1005Metric,C25076
LM74700,U100,Package_TO_SOT_SMD:SOT-23-6,C2941042
LM25145RGYR,U200,LM24145RGYR:RGY0020B,C2876740
LTV-217-B-G,"U300,U301",LTV-217-B-G:SOIC127P700X210-4N,C115450
INA219AIDCNR,U302,INA219AIDCNR:SOT65P280X145-8N,C87469
